des,px,pz,stand,pitcher_name
Called Strike,0.165,3.159,Right-handed Batter,Clay Buchholz
Called Strike,0.165,3.159,Right-handed Batter,Clay Buchholz
Ball,1.312,1.707,Right-handed Batter,Clay Buchholz
Ball,1.208,2.961,Right-handed Batter,Clay Buchholz
Ball,1.02,1.269,Right-handed Batter,Clay Buchholz
Called Strike,0.126,3.311,Right-handed Batter,Clay Buchholz
Ball,1.312,1.707,Right-handed Batter,Clay Buchholz
Ball,1.208,2.961,Right-handed Batter,Clay Buchholz
Ball,1.02,1.269,Right-handed Batter,Clay Buchholz
Called Strike,0.126,3.311,Right-handed Batter,Clay Buchholz
Ball,0.637,0.284,Left-handed Batter,Clay Buchholz
Ball,-0.709,3.9,Left-handed Batter,Clay Buchholz
Ball,1.202,3.836,Left-handed Batter,Clay Buchholz
Ball,-0.909,3.74,Left-handed Batter,Clay Buchholz
Ball,0.637,0.284,Left-handed Batter,Clay Buchholz
Ball,-0.709,3.9,Left-handed Batter,Clay Buchholz
Ball,1.202,3.836,Left-handed Batter,Clay Buchholz
Ball,-0.909,3.74,Left-handed Batter,Clay Buchholz
Called Strike,0.043,3.117,Right-handed Batter,Clay Buchholz
Called Strike,0.672,2.052,Right-handed Batter,Clay Buchholz
Ball,-1.319,2.398,Right-handed Batter,Clay Buchholz
Called Strike,0.043,3.117,Right-handed Batter,Clay Buchholz
Called Strike,0.672,2.052,Right-handed Batter,Clay Buchholz
Ball,-1.319,2.398,Right-handed Batter,Clay Buchholz
Ball,-0.819,3.366,Left-handed Batter,Clay Buchholz
Ball,-0.819,3.366,Left-handed Batter,Clay Buchholz
Called Strike,-0.194,2.368,Left-handed Batter,Clay Buchholz
Ball,-0.48,0.972,Left-handed Batter,Clay Buchholz
Called Strike,-0.194,2.368,Left-handed Batter,Clay Buchholz
Ball,-0.48,0.972,Left-handed Batter,Clay Buchholz
Ball,-0.397,0.863,Left-handed Batter,Clay Buchholz
Ball,-0.397,0.863,Left-handed Batter,Clay Buchholz
Ball,0.741,1.447,Right-handed Batter,Clay Buchholz
Ball,0.741,1.447,Right-handed Batter,Clay Buchholz
Ball,-0.659,3.554,Left-handed Batter,Clay Buchholz
Ball,-0.523,1.507,Left-handed Batter,Clay Buchholz
Ball,-1.739,2.254,Left-handed Batter,Clay Buchholz
Called Strike,0.096,2.441,Left-handed Batter,Clay Buchholz
Called Strike,0.659,3.003,Left-handed Batter,Clay Buchholz
Ball,-0.659,3.554,Left-handed Batter,Clay Buchholz
Ball,-0.523,1.507,Left-handed Batter,Clay Buchholz
Ball,-1.739,2.254,Left-handed Batter,Clay Buchholz
Called Strike,0.096,2.441,Left-handed Batter,Clay Buchholz
Called Strike,0.659,3.003,Left-handed Batter,Clay Buchholz
Called Strike,0.54,1.842,Left-handed Batter,Clay Buchholz
Ball,1.592,1.295,Left-handed Batter,Clay Buchholz
Ball,1.324,2.171,Left-handed Batter,Clay Buchholz
Called Strike,0.54,1.842,Left-handed Batter,Clay Buchholz
Ball,1.592,1.295,Left-handed Batter,Clay Buchholz
Ball,1.324,2.171,Left-handed Batter,Clay Buchholz
Ball,1.291,2.329,Right-handed Batter,Clay Buchholz
Ball,1.833,0.704,Right-handed Batter,Clay Buchholz
Ball,1.291,2.329,Right-handed Batter,Clay Buchholz
Ball,1.833,0.704,Right-handed Batter,Clay Buchholz
Ball,0.33,1.23,Left-handed Batter,Clay Buchholz
Ball,0.33,1.23,Left-handed Batter,Clay Buchholz
Called Strike,0.219,2.288,Right-handed Batter,Clay Buchholz
Ball,1.315,1.159,Right-handed Batter,Clay Buchholz
Ball,0.447,3.701,Right-handed Batter,Clay Buchholz
Ball,1.651,3.676,Right-handed Batter,Clay Buchholz
Called Strike,0.219,2.288,Right-handed Batter,Clay Buchholz
Ball,1.315,1.159,Right-handed Batter,Clay Buchholz
Ball,0.447,3.701,Right-handed Batter,Clay Buchholz
Ball,1.651,3.676,Right-handed Batter,Clay Buchholz
Called Strike,-1.033,3.03,Left-handed Batter,Clay Buchholz
Called Strike,-1.033,3.03,Left-handed Batter,Clay Buchholz
Called Strike,0.766,3.325,Right-handed Batter,Clay Buchholz
Ball,0.659,-0.244,Right-handed Batter,Clay Buchholz
Ball,-0.57,4.197,Right-handed Batter,Clay Buchholz
Ball,1.533,1.435,Right-handed Batter,Clay Buchholz
Called Strike,0.794,2.968,Right-handed Batter,Clay Buchholz
Called Strike,0.766,3.325,Right-handed Batter,Clay Buchholz
Ball,0.659,-0.244,Right-handed Batter,Clay Buchholz
Ball,-0.57,4.197,Right-handed Batter,Clay Buchholz
Ball,1.533,1.435,Right-handed Batter,Clay Buchholz
Called Strike,0.794,2.968,Right-handed Batter,Clay Buchholz
Called Strike,0.374,2.625,Right-handed Batter,Clay Buchholz
Called Strike,0.836,2.884,Right-handed Batter,Clay Buchholz
Ball,1.366,2.44,Right-handed Batter,Clay Buchholz
Called Strike,1.066,2.758,Right-handed Batter,Clay Buchholz
